epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1488.35,1.345,1.44759,1.61576,0.54246,0.92386,0.63239,0.40885,1.28379,1.06833,1.56983,0.000960682,0.000960682,0.000960682
43,1521.95,1.35648,1.42409,1.63324,0.52108,0.9454,0.67446,0.42615,1.27788,1.11631,1.5669,0.000957015,0.000957015,0.000957015
44,1556.18,1.39285,1.47591,1.65065,0.51336,0.89663,0.68059,0.41637,1.35428,1.09349,1.60604,0.000953349,0.000953349,0.000953349
45,1590,1.35785,1.41995,1.612,0.51498,0.92739,0.67337,0.43468,1.25085,1.06174,1.51092,0.000949683,0.000949683,0.000949683
46,1623.08,1.32708,1.4366,1.56983,0.53914,0.93028,0.69768,0.44326,1.2801,1.07512,1.53401,0.000946016,0.000946016,0.000946016
47,1656.52,1.33131,1.42363,1.58911,0.54263,0.92484,0.71335,0.45911,1.22402,1.04829,1.52912,0.00094235,0.00094235,0.00094235
48,1693.4,1.34537,1.43152,1.60554,0.54421,0.93039,0.67885,0.45168,1.19894,1.07774,1.51485,0.000938684,0.000938684,0.000938684
49,1727.1,1.33406,1.4309,1.59763,0.54321,0.92756,0.66819,0.40354,1.38334,1.07618,1.6137,0.000935018,0.000935018,0.000935018
50,1760.23,1.32211,1.3999,1.587,0.57785,0.89194,0.6911,0.39063,1.51371,1.09954,1.75207,0.000931351,0.000931351,0.000931351
51,1794.9,1.35238,1.36374,1.62544,0.53166,0.94624,0.64009,0.41249,1.28093,1.07716,1.56999,0.000927685,0.000927685,0.000927685
52,1828.88,1.3101,1.41181,1.58207,0.55289,0.95237,0.6933,0.45771,1.20385,1.03069,1.49245,0.000924019,0.000924019,0.000924019
53,1862.12,1.27667,1.3858,1.53762,0.57727,0.96884,0.69024,0.4449,1.29866,0.99114,1.59028,0.000920352,0.000920352,0.000920352
54,1895.65,1.29528,1.35759,1.57473,0.55025,0.9101,0.67552,0.43038,1.2601,1.0779,1.54869,0.000916686,0.000916686,0.000916686
55,1929.29,1.29106,1.36782,1.54959,0.54976,0.93904,0.67404,0.42271,1.28858,1.11363,1.54773,0.00091302,0.00091302,0.00091302
56,1962.63,1.2828,1.36091,1.54798,0.54413,0.96312,0.65778,0.43298,1.19558,0.9985,1.48436,0.000909353,0.000909353,0.000909353
57,1996.34,1.25984,1.36333,1.55314,0.56337,0.96849,0.68091,0.44924,1.22273,0.99597,1.50125,0.000905687,0.000905687,0.000905687
58,2030.03,1.28999,1.34892,1.55141,0.58272,0.87957,0.71536,0.46129,1.24231,1.01463,1.52099,0.000902021,0.000902021,0.000902021
59,2067.69,1.31526,1.35417,1.54767,0.57235,0.89805,0.69074,0.44895,1.27568,1.05347,1.54281,0.000898355,0.000898355,0.000898355
60,2101.31,1.26407,1.321,1.54796,0.55162,0.95913,0.72136,0.49003,1.15763,0.98049,1.45282,0.000894688,0.000894688,0.000894688
61,2138.13,1.25782,1.30296,1.54438,0.55977,0.89379,0.73076,0.48097,1.26375,1.03498,1.53923,0.000891022,0.000891022,0.000891022
62,2171.63,1.25955,1.3029,1.53135,0.58291,0.94859,0.76467,0.49972,1.2616,0.95781,1.52486,0.000887356,0.000887356,0.000887356
63,2208.52,1.26004,1.32295,1.52223,0.59088,0.9376,0.73142,0.4516,1.34023,1.00956,1.60114,0.000883689,0.000883689,0.000883689
64,2241.99,1.29205,1.34791,1.57087,0.60664,0.89262,0.71675,0.47091,1.2286,0.97965,1.53466,0.000880023,0.000880023,0.000880023
65,2276.89,1.25149,1.30773,1.53634,0.58145,0.91725,0.69642,0.43867,1.31242,1.00785,1.57254,0.000876357,0.000876357,0.000876357
66,2310.65,1.24355,1.31165,1.52906,0.55569,0.95933,0.68496,0.46074,1.15062,0.9606,1.43221,0.000872691,0.000872691,0.000872691
67,2343.53,1.23606,1.33692,1.5089,0.55402,0.9793,0.76091,0.52681,1.12494,0.92665,1.42462,0.000869024,0.000869024,0.000869024
68,2380.57,1.23335,1.27723,1.50573,0.60642,0.91528,0.75534,0.49412,1.22172,0.95607,1.52311,0.000865358,0.000865358,0.000865358
69,2414,1.28736,1.28438,1.55374,0.59399,0.94008,0.73597,0.50102,1.1227,0.91857,1.41991,0.000861692,0.000861692,0.000861692
70,2447.54,1.21981,1.27189,1.49756,0.5714,0.93613,0.69163,0.43729,1.29358,0.9987,1.51236,0.000858025,0.000858025,0.000858025
71,2480.83,1.23277,1.30798,1.49733,0.58825,0.93115,0.72222,0.47336,1.20006,0.95066,1.45238,0.000854359,0.000854359,0.000854359
72,2514.1,1.19713,1.24252,1.49913,0.62098,0.93256,0.75649,0.50384,1.19264,0.91627,1.45636,0.000850693,0.000850693,0.000850693
73,2547.98,1.2211,1.22826,1.50289,0.60674,0.95284,0.76447,0.51762,1.17801,0.89225,1.44909,0.000847026,0.000847026,0.000847026
74,2581.42,1.16699,1.20671,1.47033,0.61118,0.9636,0.79038,0.54283,1.10984,0.90053,1.40245,0.00084336,0.00084336,0.00084336
75,2618.47,1.18725,1.23826,1.46186,0.62068,0.85029,0.7714,0.52581,1.14127,0.90894,1.42153,0.000839694,0.000839694,0.000839694
76,2651.95,1.23132,1.23357,1.51014,0.66924,0.88131,0.81253,0.5387,1.15236,0.92315,1.43481,0.000836027,0.000836027,0.000836027
77,2685.21,1.20436,1.29702,1.49007,0.60743,0.94368,0.7188,0.49319,1.09145,0.88868,1.3801,0.000832361,0.000832361,0.000832361
78,2718.75,1.17248,1.19498,1.44982,0.62353,0.89994,0.76224,0.50862,1.18352,0.90536,1.46428,0.000828695,0.000828695,0.000828695
79,2752.03,1.18154,1.21835,1.47559,0.61392,0.89715,0.76145,0.51181,1.17948,0.91402,1.45102,0.000825029,0.000825029,0.000825029
80,2785.86,1.18355,1.18784,1.47496,0.66964,0.86228,0.80605,0.53203,1.20101,0.91117,1.45829,0.000821362,0.000821362,0.000821362
81,2818.79,1.19177,1.21251,1.4724,0.76402,0.86114,0.86754,0.5822,1.16561,0.8582,1.41025,0.000817696,0.000817696,0.000817696
82,2856.07,1.19181,1.21712,1.49569,0.74942,0.83091,0.84908,0.57588,1.1708,0.84622,1.43481,0.00081403,0.00081403,0.00081403
83,2889.21,1.17217,1.22307,1.4655,0.6845,0.90864,0.82358,0.56345,1.14552,0.83339,1.43069,0.000810363,0.000810363,0.000810363
84,2923.08,1.18884,1.23953,1.46891,0.67816,0.93301,0.82662,0.58666,1.10478,0.85055,1.40045,0.000806697,0.000806697,0.000806697
85,2956.51,1.14753,1.16103,1.44978,0.69481,0.86165,0.81555,0.55734,1.13498,0.86546,1.41944,0.000803031,0.000803031,0.000803031
86,2989.94,1.18276,1.19907,1.47406,0.74565,0.90057,0.86211,0.59378,1.10678,0.80917,1.3902,0.000799365,0.000799365,0.000799365
87,3027.24,1.17447,1.20355,1.47236,0.60285,0.96396,0.77241,0.51878,1.17601,0.89501,1.45351,0.000795698,0.000795698,0.000795698
88,3060.79,1.17592,1.15613,1.4774,0.79185,0.89265,0.90194,0.61484,1.13874,0.80219,1.42543,0.000792032,0.000792032,0.000792032
89,3097.75,1.13579,1.18639,1.42413,0.62419,0.90238,0.7612,0.50805,1.21365,0.92332,1.46926,0.000788366,0.000788366,0.000788366
90,3130.99,1.1582,1.14934,1.45373,0.77482,0.88862,0.87913,0.61932,1.0871,0.78123,1.38106,0.000784699,0.000784699,0.000784699
91,3168.09,1.13772,1.17344,1.42273,0.67971,0.87264,0.8423,0.57246,1.15213,0.8604,1.41048,0.000781033,0.000781033,0.000781033
92,3201.31,1.11654,1.13972,1.41626,0.80719,0.87491,0.89517,0.61902,1.10843,0.76701,1.37078,0.000777367,0.000777367,0.000777367
93,3238.24,1.14475,1.13982,1.44601,0.78262,0.89624,0.89672,0.61982,1.14321,0.77266,1.42802,0.0007737,0.0007737,0.0007737
94,3275.04,1.11785,1.107,1.4185,0.70905,0.89598,0.85682,0.58568,1.15704,0.82807,1.42885,0.000770034,0.000770034,0.000770034
95,3308.54,1.11809,1.13699,1.41936,0.67853,0.91467,0.82999,0.58341,1.13577,0.81224,1.39118,0.000766368,0.000766368,0.000766368
96,3341.91,1.11247,1.11261,1.40129,0.77987,0.8892,0.89412,0.62793,1.11351,0.77742,1.38088,0.000762702,0.000762702,0.000762702
97,3378.92,1.10191,1.11186,1.41422,0.67999,0.91856,0.84,0.57238,1.18368,0.8195,1.45334,0.000759035,0.000759035,0.000759035
98,3412.44,1.09178,1.09628,1.42329,0.74805,0.86849,0.85273,0.60688,1.05595,0.77795,1.3389,0.000755369,0.000755369,0.000755369
99,3445.83,1.10555,1.12419,1.40642,0.61133,0.92307,0.70177,0.49203,1.09125,0.9044,1.381,0.000751703,0.000751703,0.000751703
100,3479.39,1.05495,1.0638,1.37751,0.81243,0.87263,0.89546,0.60971,1.16342,0.77548,1.44004,0.000748036,0.000748036,0.000748036
101,3512.44,1.11452,1.08755,1.41437,0.71818,0.90494,0.85202,0.59691,1.09898,0.79096,1.37,0.00074437,0.00074437,0.00074437
102,3546.19,1.08511,1.08184,1.40177,0.82876,0.90306,0.92106,0.66139,1.04326,0.71609,1.34167,0.000740704,0.000740704,0.000740704
103,3582.78,1.07649,1.04816,1.39729,0.79501,0.8787,0.89128,0.6397,1.07083,0.72074,1.35806,0.000737037,0.000737037,0.000737037
104,3616.52,1.10276,1.05632,1.42917,0.79037,0.87199,0.88844,0.63804,1.05304,0.78362,1.34613,0.000733371,0.000733371,0.000733371
105,3649.8,1.06187,1.04764,1.39106,0.85711,0.87308,0.91553,0.66117,1.02362,0.71518,1.34447,0.000729705,0.000729705,0.000729705
106,3683.55,1.05774,1.06537,1.39808,0.84378,0.87084,0.91906,0.65468,1.0547,0.71132,1.36175,0.000726038,0.000726038,0.000726038
107,3718.21,1.07658,1.02511,1.3963,0.83792,0.92658,0.93587,0.69,1.01489,0.67257,1.32326,0.000722372,0.000722372,0.000722372
108,3755.18,1.06068,1.04086,1.39998,0.75081,0.91148,0.9031,0.63639,1.04847,0.77333,1.33612,0.000718706,0.000718706,0.000718706
109,3788.56,1.07855,1.0531,1.37978,0.80676,0.88469,0.90849,0.649,1.07327,0.729,1.36396,0.00071504,0.00071504,0.00071504
110,3822.06,1.05655,1.04101,1.39501,0.79172,0.91838,0.92963,0.66576,1.07117,0.74929,1.36942,0.000711373,0.000711373,0.000711373
111,3855.46,1.01853,0.99936,1.35735,0.79685,0.89732,0.91136,0.64071,1.11839,0.74856,1.38421,0.000707707,0.000707707,0.000707707
112,3888.83,1.03709,1.01366,1.35281,0.8478,0.89604,0.925,0.64721,1.11427,0.70277,1.39554,0.000704041,0.000704041,0.000704041
