epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1464,1.3246,1.3758,1.73982,0.59297,0.93006,0.75609,0.50605,1.19602,0.98778,1.70139,0.000660045,0.000660045,0.000660045
43,1501.42,1.27545,1.3829,1.69397,0.60323,0.9368,0.74109,0.50292,1.15187,0.9541,1.66734,0.000649046,0.000649046,0.000649046
44,1534.92,1.32615,1.40067,1.73249,0.58616,0.92561,0.7319,0.48213,1.22011,1.00939,1.71111,0.000638047,0.000638047,0.000638047
45,1568.49,1.28672,1.38397,1.68723,0.57184,0.94271,0.70815,0.46133,1.23004,0.99607,1.73417,0.000627048,0.000627048,0.000627048
46,1602.73,1.28818,1.37146,1.706,0.58048,0.90222,0.72995,0.46646,1.2549,1.03539,1.73524,0.000616049,0.000616049,0.000616049
47,1636.33,1.26686,1.36269,1.70291,0.58493,0.92781,0.73728,0.46979,1.25236,1.00822,1.73414,0.000605051,0.000605051,0.000605051
48,1670.06,1.27164,1.32831,1.68905,0.59744,0.91047,0.74687,0.49116,1.23402,0.98528,1.69684,0.000594052,0.000594052,0.000594052
49,1703.29,1.2709,1.33466,1.68373,0.59798,0.90095,0.74219,0.47608,1.2805,1.00211,1.74689,0.000583053,0.000583053,0.000583053
50,1736.97,1.2481,1.29749,1.67244,0.64423,0.89588,0.74616,0.49674,1.17181,0.94868,1.70282,0.000572054,0.000572054,0.000572054
51,1770.41,1.25708,1.28816,1.67092,0.62891,0.90051,0.75354,0.49952,1.22584,0.95359,1.69857,0.000561055,0.000561055,0.000561055
52,1804.18,1.24009,1.34901,1.68088,0.71744,0.8138,0.80011,0.51037,1.26929,0.99555,1.78942,0.000550056,0.000550056,0.000550056
53,1841.54,1.21668,1.27945,1.64348,0.66069,0.88277,0.79533,0.50422,1.29358,1.02698,1.80218,0.000539057,0.000539057,0.000539057
54,1875.35,1.22836,1.29578,1.65494,0.63947,0.90082,0.81264,0.5471,1.15132,0.9358,1.65347,0.000528058,0.000528058,0.000528058
55,1912.3,1.19109,1.22514,1.60119,0.67607,0.89584,0.80536,0.54718,1.14565,0.90502,1.61078,0.000517059,0.000517059,0.000517059
56,1945.81,1.1904,1.26488,1.60954,0.58146,0.95811,0.75169,0.51091,1.14873,0.93853,1.61411,0.00050606,0.00050606,0.00050606
57,1979.38,1.22749,1.27959,1.64295,0.68841,0.81675,0.80534,0.55189,1.15718,0.90254,1.66779,0.000495062,0.000495062,0.000495062
58,2017.29,1.18876,1.24943,1.6034,0.73657,0.81343,0.83865,0.55381,1.20452,0.90798,1.68982,0.000484063,0.000484063,0.000484063
59,2054.66,1.17392,1.22016,1.59896,0.61864,0.95033,0.79143,0.5427,1.11808,0.90192,1.63213,0.000473064,0.000473064,0.000473064
60,2088.5,1.17128,1.19197,1.59043,0.59118,0.93652,0.8021,0.536,1.19372,0.92453,1.66473,0.000462065,0.000462065,0.000462065
61,2122.25,1.18484,1.17265,1.59324,0.75591,0.82115,0.87516,0.60338,1.14304,0.83697,1.62452,0.000451066,0.000451066,0.000451066
62,2159.5,1.15661,1.20137,1.59595,0.65163,0.91638,0.82711,0.56088,1.19025,0.87351,1.653,0.000440067,0.000440067,0.000440067
63,2193.1,1.15107,1.21158,1.59792,0.66561,0.90761,0.80968,0.56966,1.06935,0.8717,1.57337,0.000429068,0.000429068,0.000429068
64,2226.82,1.13723,1.16489,1.57254,0.70665,0.87939,0.84389,0.58685,1.1054,0.84868,1.59441,0.000418069,0.000418069,0.000418069
65,2260.85,1.16629,1.144,1.59789,0.7316,0.84773,0.85871,0.59377,1.13863,0.83569,1.61568,0.00040707,0.00040707,0.00040707
